,cpu_cycles,KBytes_sent,KBytes_recieved,vram_used_MBytes,ram_active_MBytes
0,29973906973.0,2.232,2.302,2069.10546875,748.66015625
1,29953134948.0,7026.382,10511.851,2520.421875,749.08203125
2,29966880167.0,60.464,60.534,2506.15234375,749.09765625
3,29965791107.0,48.596,48.596,2592.2265625,749.10546875
4,29959185443.0,1817.46,1397.262,2816.9453125,749.38671875
5,29977810985.0,6404.189,9592.6,3206.89453125,749.40625
6,29976664937.0,61.564,61.564,3221.84375,749.515625
