,Start_CPU,End_CPU,Start_ML,End_ML,Start_Preprocessing,End_Preprocessing,Image_size_reduction
0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0418891534129684
1,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.2956932976702717
