,cpu_cycles,KBytes_sent,KBytes_recieved,vram_used_MBytes,ram_active_MBytes
0,29976234030.0,2.296,2.366,2060.24609375,748.66015625
1,29976279076.0,2.156,2.226,2520.421875,749.08203125
2,29974625583.0,2.156,2.156,2506.15234375,749.09765625
3,29964578435.0,2.052,2.052,2592.2265625,749.10546875
4,29977811897.0,3265.886,3685.856,2816.9453125,749.38671875
5,29976332280.0,2.052,2.122,3206.89453125,749.40625
6,29976280590.0,2.052,2.052,3221.84375,749.515625
7,29975649265.0,2.052,2.052,1295.6484375,832.62109375
